time (s),v("/X0" ?result "tran") (V),v("/X1" ?result "tran") (V),v("/X2" ?result "tran") (V),v("/X3" ?result "tran") (V),v("/Y0" ?result "tran") (V),v("/Y1" ?result "tran") (V),v("/Y2" ?result "tran") (V),v("/Y3" ?result "tran") (V),v("/Z0" ?result "tran") (V),v("/Z1" ?result "tran") (V),v("/Z2" ?result "tran") (V),v("/Z3" ?result "tran") (V),v("/Z4" ?result "tran") (V),v("/Z5" ?result "tran") (V),v("/Z6" ?result "tran") (V),v("/Z7" ?result "tran") (V)
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.77E-9,155.1E-9,38.77E-9,38.77E-9,155.1E-9,38.77E-9,38.77E-9,38.77E-9
9.766E-15,1.172E-3,1.172E-3,1.172E-3,1.172E-3,1.172E-3,1.172E-3,1.172E-3,1.172E-3,63.73E-6,1.476E-6,57.64E-9,44.14E-9,155.3E-9,38.77E-9,43.97E-9,54.42E-9
29.30E-15,3.516E-3,3.516E-3,3.516E-3,3.516E-3,3.516E-3,3.516E-3,3.516E-3,3.516E-3,196.9E-6,5.005E-6,114.4E-9,60.29E-9,156.2E-9,38.78E-9,59.53E-9,97.83E-9
68.36E-15,8.203E-3,8.203E-3,8.203E-3,8.203E-3,8.203E-3,8.203E-3,8.203E-3,8.203E-3,451.8E-6,11.98E-6,227.5E-9,94.46E-9,157.9E-9,38.81E-9,92.46E-9,183.0E-9
143.7E-15,17.25E-3,17.25E-3,17.25E-3,17.25E-3,17.25E-3,17.25E-3,17.25E-3,17.25E-3,899.2E-6,24.09E-6,411.5E-9,151.4E-9,160.7E-9,38.85E-9,147.5E-9,315.7E-9
294.4E-15,35.33E-3,35.33E-3,35.33E-3,35.33E-3,35.33E-3,35.33E-3,35.33E-3,35.33E-3,1.653E-3,43.75E-6,672.0E-9,235.5E-9,164.1E-9,38.90E-9,229.3E-9,486.6E-9
595.9E-15,71.51E-3,71.51E-3,71.51E-3,71.51E-3,71.51E-3,71.51E-3,71.51E-3,71.51E-3,2.700E-3,68.22E-6,878.4E-9,314.0E-9,165.5E-9,38.89E-9,307.3E-9,570.6E-9
1.199E-12,143.9E-3,143.9E-3,143.9E-3,143.9E-3,143.9E-3,143.9E-3,143.9E-3,143.9E-3,3.619E-3,78.80E-6,637.4E-9,244.5E-9,158.4E-9,38.75E-9,242.7E-9,338.8E-9
2.405E-12,288.5E-3,288.5E-3,288.5E-3,288.5E-3,288.5E-3,288.5E-3,288.5E-3,288.5E-3,3.591E-3,43.49E-6,-250.3E-9,19.59E-9,145.3E-9,38.62E-9,27.36E-9,-370.2E-9
3.839E-12,460.7E-3,460.7E-3,460.7E-3,460.7E-3,460.7E-3,460.7E-3,460.7E-3,460.7E-3,3.364E-3,430.9E-9,-493.9E-9,-115.7E-9,149.5E-9,38.75E-9,-112.3E-9,-220.8E-9
5.516E-12,662.0E-3,662.0E-3,662.0E-3,662.0E-3,662.0E-3,662.0E-3,662.0E-3,662.0E-3,4.632E-3,12.34E-6,75.55E-9,-1.848E-9,160.2E-9,38.86E-9,-6.290E-9,219.4E-9
7.095E-12,851.3E-3,851.3E-3,851.3E-3,851.3E-3,851.3E-3,851.3E-3,851.3E-3,851.3E-3,4.678E-3,-5.308E-6,-131.1E-9,-37.22E-9,155.1E-9,38.75E-9,-36.45E-9,-32.37E-9
