time (s),v("/X0" ?result "tran") (V),v("/X1" ?result "tran") (V),v("/X2" ?result "tran") (V),v("/X3" ?result "tran") (V),v("/Y0" ?result "tran") (V),v("/Y1" ?result "tran") (V),v("/Y2" ?result "tran") (V),v("/Y3" ?result "tran") (V),v("/Z0" ?result "tran") (V),v("/Z1" ?result "tran") (V),v("/Z2" ?result "tran") (V),v("/Z3" ?result "tran") (V),v("/Z4" ?result "tran") (V),v("/Z5" ?result "tran") (V),v("/Z6" ?result "tran") (V),v("/Z7" ?result "tran") (V)
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.77E-9,155.1E-9,155.1E-9,155.1E-9,38.77E-9,38.77E-9,38.77E-9,38.77E-9
9.766E-15,1.172E-3,1.172E-3,1.172E-3,1.172E-3,1.172E-3,1.172E-3,1.172E-3,1.172E-3,63.73E-6,1.478E-6,1.143E-6,1.142E-6,150.9E-9,150.1E-9,150.7E-9,641.6E-9
29.30E-15,3.516E-3,3.516E-3,3.516E-3,3.516E-3,3.516E-3,3.516E-3,3.516E-3,3.516E-3,196.9E-6,5.017E-6,3.788E-6,3.784E-6,473.0E-9,471.4E-9,473.9E-9,2.191E-6
68.36E-15,8.203E-3,8.203E-3,8.203E-3,8.203E-3,8.203E-3,8.203E-3,8.203E-3,8.203E-3,451.8E-6,12.01E-6,9.009E-6,8.998E-6,1.114E-6,1.112E-6,1.118E-6,5.202E-6
143.7E-15,17.25E-3,17.25E-3,17.25E-3,17.25E-3,17.25E-3,17.25E-3,17.25E-3,17.25E-3,899.2E-6,24.15E-6,18.05E-6,18.02E-6,2.226E-6,2.227E-6,2.241E-6,10.34E-6
294.4E-15,35.33E-3,35.33E-3,35.33E-3,35.33E-3,35.33E-3,35.33E-3,35.33E-3,35.33E-3,1.653E-3,43.85E-6,32.65E-6,32.60E-6,4.053E-6,4.067E-6,4.093E-6,18.51E-6
595.8E-15,71.50E-3,71.50E-3,71.50E-3,71.50E-3,71.50E-3,71.50E-3,71.50E-3,71.50E-3,2.700E-3,68.36E-6,50.64E-6,50.57E-6,6.432E-6,6.488E-6,6.533E-6,28.16E-6
1.199E-12,143.8E-3,143.8E-3,143.8E-3,143.8E-3,143.8E-3,143.8E-3,143.8E-3,143.8E-3,3.619E-3,78.89E-6,58.03E-6,57.94E-6,7.976E-6,8.107E-6,8.167E-6,31.31E-6
2.404E-12,288.5E-3,288.5E-3,288.5E-3,288.5E-3,288.5E-3,288.5E-3,288.5E-3,288.5E-3,3.591E-3,43.44E-6,33.77E-6,33.73E-6,6.017E-6,6.221E-6,6.260E-6,18.07E-6
3.839E-12,460.7E-3,460.7E-3,460.7E-3,460.7E-3,460.7E-3,460.7E-3,460.7E-3,460.7E-3,3.364E-3,335.6E-9,1.274E-6,1.305E-6,2.501E-6,2.537E-6,2.540E-6,3.947E-6
5.516E-12,661.9E-3,661.9E-3,661.9E-3,661.9E-3,661.9E-3,661.9E-3,661.9E-3,661.9E-3,4.631E-3,12.34E-6,9.801E-6,9.821E-6,4.011E-6,3.927E-6,3.914E-6,8.570E-6
7.094E-12,851.3E-3,851.3E-3,851.3E-3,851.3E-3,851.3E-3,851.3E-3,851.3E-3,851.3E-3,4.678E-3,-5.328E-6,-3.687E-6,-3.656E-6,2.417E-6,2.350E-6,2.325E-6,688.6E-9
8.478E-12,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,-423.6E-6,-130.6E-6,-97.52E-6,-97.40E-6,-8.964E-6,-9.227E-6,-9.304E-6,-55.01E-6
9.239E-12,1.109,1.109,1.109,1.109,1.109,1.109,1.109,1.109,-6.407E-3,-237.3E-6,-176.3E-6,-176.1E-6,-18.16E-6,-18.59E-6,-18.75E-6,-95.63E-6
10.00E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,-12.75E-3,-332.2E-6,-245.7E-6,-245.4E-6,-28.14E-6,-28.76E-6,-28.98E-6,-130.7E-6
10.02E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,-13.09E-3,-337.3E-6,-249.5E-6,-249.2E-6,-28.65E-6,-29.28E-6,-29.51E-6,-132.9E-6
10.07E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,-13.76E-3,-347.9E-6,-257.4E-6,-257.1E-6,-29.73E-6,-30.36E-6,-30.59E-6,-137.5E-6
10.17E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,-15.00E-3,-367.1E-6,-271.7E-6,-271.4E-6,-31.70E-6,-32.36E-6,-32.60E-6,-145.4E-6
10.35E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,-17.20E-3,-396.4E-6,-293.2E-6,-292.9E-6,-34.96E-6,-35.67E-6,-35.93E-6,-156.7E-6
10.73E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,-20.78E-3,-427.3E-6,-315.2E-6,-314.8E-6,-39.58E-6,-40.38E-6,-40.67E-6,-166.5E-6
11.48E-12,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,-25.98E-3,-414.2E-6,-303.5E-6,-303.2E-6,-44.11E-6,-44.92E-6,-45.23E-6,-156.9E-6
